city,total_customers,high_value_customers,avg_customer_spend,max_customer_spend
Beijing,1720,5,137.44622685035995,1611.9300022125244
Incheon Metropolitan City,279,4,153.63569911919186,1494.0799989700317
Seoul,1143,3,136.50539821610585,1272.560001373291
Madrid,300,3,139.45950037082028,1188.9700012207031
Wuhan,620,3,137.39162917252517,1275.8200016021729
Chengdu,690,3,145.72246385380842,1160.9500026702881
Shanghai,1875,2,137.86088015123985,1224.9799995422363
Busan,355,2,141.2581410763969,1342.0800037384033
Putian,81,2,182.26308681199583,1162.9400005340576
Xi'an,324,2,145.40959891860862,1373.6199970245361
Fuzhou,360,2,136.68566687504443,1117.6399984359741
Shenzhen,1029,2,131.38097197715246,1048.5
Salvador,435,2,146.38933352875983,1264.7799987792969
Taiyuan,285,1,143.76245649070077,1055.9500007629395
Berlin,175,1,128.51131452696666,1039.5
Barin Guo Yu Mongolu Autonomous Prefecture,46,1,149.90282618481183,1093.2700061798096
Tokyo,670,1,138.92607488454271,1404.1100044250488
null,794,1,136.80386659015042,1172.4300022125244
New York,645,1,135.61924058707189,1081.5300006866455
Hefei,280,1,136.58849996924403,1005.0599966049194
Las Vegas,221,1,130.07122162456434,1103.5500030517578
Houston,280,1,132.81803578734406,1087.3500022888184
Melbourne,264,1,136.10772750504088,1336.9699974060059
Lyon,41,1,137.00707314072591,1063.5600023269653
Changzhou,82,1,156.25292715502945,1029.9899978637695
Foshan,614,1,140.15815981475066,1250.1899909973145
Perth,144,1,135.90527817606926,1013.6900024414062
Strasbourg,25,1,151.03640019416807,1085.9799976348877
Handan,385,1,137.44020791796908,1154
Rancho Cucamonga,17,1,150.67058873176578,1009.9399998188019
London,426,1,121.47354466086817,1005
Guangzhou,403,1,150.66228313954821,1042.9500007629395
Wardenburg,2,1,647.975000500679,1258.9599993228912
Zhengzhou,457,1,139.92109406959568,1107.8800010681152
Goyang City,79,1,167.48999998539313,1129.4699902534485
Huaian,48,1,127.83250081539151,1027.830005645752
Lan'Zhou,187,1,149.77652422757066,1094.9900016784668
Vargem Grande do Sul,9,1,255.09000062942505,1145.4000058174133
São Paulo,391,1,137.4415346326121,1016.9000015258789
Shenyang,260,1,138.45857710104727,1135.6100006103516
South Gate,7,1,210.6542859418052,1037.9700012207031
Datong,75,1,146.8709330844878,1076.3500003814697
Henderson,23,1,167.79130409074864,1389.4799976348877
Yinchuan,90,1,138.10355570846139,1022.439998626709
